Reference ID,Habitable Rooms,Bedrooms,Tenure,Wheelchair?,Studio?,Tenure Type
H2.D.06.04,4,2,open,,,
H2.D.06.05,4,2,open,,,
H2.D.07.01,4,2,open,,,
H2.D.07.02,2,1,open,,,
H2.D.07.03,2,1,open,,,
H2.D.07.04,2,1,open,,,
H2.D.07.05,3,1,open,,,
H2.D.08.01,4,2,open,,,
H2.D.08.02,3,1,open,,,
H2.D.08.03,3,1,open,,,
H2.D.08.04,5,3,open,,,
